AWS Account Name,Account ID,Aliases,Owner,Email,Account Type,Accessible to SIRT
NightSchool-Lab-55,978197086052,NightSchool-Lab-55,NightSchool,awsroot-nightschool-lab-55@compliancecow.com,Flex,No
RoaldDahl-Dev-56,459190535463,RoaldDahl-Dev-56,RoaldDahl,awsroot-roalddahl-dev-56@compliancecow.com,Flex,Yes
AnimalLogic-Prod-57,137104985585,AnimalLogic-Prod-57,AnimalLogic,awsroot-animallogic-prod-57@compliancecow.com,Flex,No
ScanLine-Staging-58,500083280394,ScanLine-Staging-58,ScanLine,awsroot-scanline-staging-58@compliancecow.com,Flex,No
SparyFox-Perf-59,536503044745,SparyFox-Perf-59,SparyFox,awsroot-sparyfox-perf-59@compliancecow.com,Flex,Yes
BossFight-Beta-60,211770890849,BossFight-Beta-60,BossFight,awsroot-bossfight-beta-60@compliancecow.com,Flex,No
NextGames-Alpha-61,252671671265,NextGames-Alpha-61,NextGames,awsroot-nextgames-alpha-61@compliancecow.com,Flex,No
NightSchool-Gamma-62,778785725831,NightSchool-Gamma-62,NightSchool,awsroot-nightschool-gamma-62@compliancecow.com,Flex,Yes
RoaldDahl-Delta-63,998602231568,RoaldDahl-Delta-63,RoaldDahl,awsroot-roalddahl-delta-63@compliancecow.com,Flex,No
AnimalLogic-Epsilon-64,494228685068,AnimalLogic-Epsilon-64,AnimalLogic,awsroot-animallogic-epsilon-64@compliancecow.com,Flex,No
ScanLine-Zeta-65,344289842670,ScanLine-Zeta-65,ScanLine,awsroot-scanline-zeta-65@compliancecow.com,Flex,Yes
SparyFox-Eta-66,772125702055,SparyFox-Eta-66,SparyFox,awsroot-sparyfox-eta-66@compliancecow.com,Flex,No
BossFight-Theta-67,310581600533,BossFight-Theta-67,BossFight,awsroot-bossfight-theta-67@compliancecow.com,Flex,No
NextGames-Iota-68,803264838735,NextGames-Iota-68,NextGames,awsroot-nextgames-iota-68@compliancecow.com,Flex,Yes
NightSchool-Kappa-69,666370983055,NightSchool-Kappa-69,NightSchool,awsroot-nightschool-kappa-69@compliancecow.com,Flex,No
RoaldDahl-Lambda-70,660967640597,RoaldDahl-Lambda-70,RoaldDahl,awsroot-roalddahl-lambda-70@compliancecow.com,Flex,No
AnimalLogic-Mu-71,974237074540,AnimalLogic-Mu-71,AnimalLogic,awsroot-animallogic-mu-71@compliancecow.com,Flex,Yes
ScanLine-Nu-72,809718050490,ScanLine-Nu-72,ScanLine,awsroot-scanline-nu-72@compliancecow.com,Flex,No
SparyFox-Xi-73,671811209346,SparyFox-Xi-73,SparyFox,awsroot-sparyfox-xi-73@compliancecow.com,Flex,No
BossFight-Omicron-74,622891010504,BossFight-Omicron-74,BossFight,awsroot-bossfight-omicron-74@compliancecow.com,Flex,Yes
NextGames-Pi-75,135034185667,NextGames-Pi-75,NextGames,awsroot-nextgames-pi-75@compliancecow.com,Flex,No
NightSchool-Rho-76,263075341592,NightSchool-Rho-76,NightSchool,awsroot-nightschool-rho-76@compliancecow.com,Flex,No
RoaldDahl-Sigma-77,720162695835,RoaldDahl-Sigma-77,RoaldDahl,awsroot-roalddahl-sigma-77@compliancecow.com,Flex,Yes
AnimalLogic-Tau-78,246161832717,AnimalLogic-Tau-78,AnimalLogic,awsroot-animallogic-tau-78@compliancecow.com,Flex,No
ScanLine-Upsilon-79,945758371896,ScanLine-Upsilon-79,ScanLine,awsroot-scanline-upsilon-79@compliancecow.com,Flex,No
SparyFox-Phi-80,195883367279,SparyFox-Phi-80,SparyFox,awsroot-sparyfox-phi-80@compliancecow.com,Flex,Yes
